"Location","Sample","Abeta1-42","P-tau181P","tau","Total Events","Notes"
"43 (C6)","45-2","35.6496162582323","98.2192867735525","52.9622307895643","368",""
"44 (D6)","48-1","26.0776208143198","71.8169595613082","84.969655386005","325",""
"45 (E6)","48-2","25.8419909752822","71.3308497673267","56.8196789377059","351",""
"46 (F6)","52-1","29.7251619299398","111.914988502126","99.8587219351407","326",""
"47 (G6)","52-2","24.9456716636867","113.957493352586","116.471490223047","344",""
"48 (H6)","background","806.424981022623","177.588033373766","414.735088207886","337",""

"DataType:","Peak"
"Location","Sample","Abeta1-42","P-tau181P","tau","Total Events","Notes"
"1 (A1)","Background","9","9","0","365",""
"2 (B1)","St1","13081","10","2","322",""
"3 (C1)","St2","7432","5650","3","344",""
"4 (D1)","St3","2249","1886","628","333",""
"5 (E1)","St4","5786","401","1775","316",""
"6 (F1)","St5","59","121","235","364",""
"7 (G1)","St6","1440","44","98","306",""
"8 (H1)","St7","171","14","14","333",""
"9 (A2)","Background","12","9","0","385",""
"10 (B2)","St1","19465","9587","11689","332",""
"11 (C2)","St2","11","84","3085","324",""
"12 (D2)","St3","163","1456","1783","340",""
"13 (E2)","St4","3991","431","1219","388",""
"14 (F2)","St5","2021","131","323","367",""
"15 (G2)","St6","1220","36","55","333",""
"16 (H2)","St7","184","15","10","388",""
"17 (A3)","ConA","3361","181","265","372",""
"18 (B3)","ConB","1358","676","2540","335",""
"19 (C3)","3507","1487","1033","275","349",""
"20 (D3)","3512","1266","194","155","326",""
"21 (E3)","3509","3932","3585","207","340",""
"22 (F3)","A-1","4158","152","160","377",""
"23 (G3)","A-2","3511","153","416","367",""
"24 (H3)","QC-L-1","3692","89","310","368",""
"25 (A4)","ConA","4107","170","720","309",""
"26 (B4)","ConB","1874","548","3541","358",""
"27 (C4)","3507","1775","521","511","368",""
"28 (D4)","3512","1359","275","217","309",""
"29 (E4)","3509","0","2325","9355","362",""
"30 (F4)","A-1","3537","105","382","362",""
"31 (G4)","A-2","4009","120","336","355",""
"32 (H4)","QC-L-1","3211","67","347","354",""
"33 (A5)","QC-L-2","46","55","486","316",""
"34 (B5)","45-1","707","153","1908","358",""
"35 (C5)","45-2","1143","214","2403","343",""
"36 (D5)","48-1","4221","110","1385","373",""
"37 (E5)","48-2","2997","100","1415","330",""
"38 (F5)","52-1","4068","40","188","348",""
"39 (G5)","52-2","4292","39","146","384",""
"40 (H5)","background","8","9","3","356",""
"41 (A6)","QC-L-2","9","69","259","316",""
"42 (B6)","45-1","1576","206","3078","331",""
"43 (C6)","45-2","898","7","3149","368",""
"44 (D6)","48-1","3930","94","1550","325",""
"45 (E6)","48-2","934","106","1611","351",""
"46 (F6)","52-1","1195","45","164","326",""
"47 (G6)","52-2","3151","36","205","344",""
"48 (H6)","background","13","12","2","337",""

"DataType:","StdDev"
"Location","Sample","Abeta1-42","P-tau181P","tau","Total Events","Notes"
"1 (A1)","Background","7.19468799556557","3.8112034584878","3.05124456826335","365",""
"2 (B1)","St1","3391.62291135502","3446.57703501981","3648.09220433348","322",""
"3 (C1)","St2","3305.56225324426","2434.36915426369","3596.77489009251","344",""
"4 (D1)","St3","2000.05884446262","1775.47634434927","2227.61607387732","333",""
"5 (E1)","St4","1613.54813446089","473.190912006346","1021.14256125383","316",""
"6 (F1)","St5","1147.20318574956","123.278508440339","244.140986509888","364",""
"7 (G1)","St6","401.564276022878","31.774572383193","42.8889510388412","306",""
"8 (H1)","St7","89.2539782097281","7.33766062819767","20.386106243546","333",""
"9 (A2)","Background","17.9664417819175","4.07747174491683","2.96266470247586","385",""
"10 (B2)","St1","4255.47367611292","3811.02131219491","3197.62622657003","332",""
"11 (C2)","St2","3169.92359108754","2094.20536785149","3531.8372210451","324",""
"12 (D2)","St3","2387.00943398359","1615.60216183683","2099.03432881298","340",""
"13 (E2)","St4","1514.02606739726","436.154429991537","817.037892374495","388",""
"14 (F2)","St5","666.111262745894","147.469540733046","228.914110089308","367",""
"15 (G2)","St6","491.431022215692","71.6195482999002","49.3349330765012","333",""
"16 (H2)","St7","427.280976322692","10.3931433038113","14.8953209282243","388",""
"17 (A3)","ConA","1205.51680706708","108.20451297131","458.513810407033","372",""
"18 (B3)","ConB","544.739947130739","628.6509866891","1605.34333502244","335",""
"19 (C3)","3507","4530.70760164637","785.103991831442","297.20059893195","349",""
"20 (D3)","3512","1499.90517882116","533.674651831606","213.716821749862","326",""
"21 (E3)","3509","1321.24308036858","1897.06014102701","3362.67753493245","340",""
